"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2016-2017","OHIO",3904947,"Ontario Local",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,123,"High School","Mathematics"
"2016-2017","OHIO",3904949,"Adena Local",583,"Performance on Statewide Mathematics Assessment","60-69",60,69,41,"High School","Mathematics"
"2016-2017","OHIO",3904950,"Huntington Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,80,"High School","Mathematics"
"2016-2017","OHIO",3904951,"Paint Valley Local",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,64,"High School","Mathematics"
"2016-2017","OHIO",3904952,"Southeastern Local",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,91,"High School","Mathematics"
"2016-2017","OHIO",3904953,"Union-Scioto Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,138,"High School","Mathematics"
"2016-2017","OHIO",3904954,"Zane Trace Local",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,66,"High School","Mathematics"
"2016-2017","OHIO",3904956,"Lakota Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,85,"High School","Mathematics"
"2016-2017","OHIO",3904957,"Woodmore Local",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,75,"High School","Mathematics"
"2016-2017","OHIO",3904959,"Bloom-Vernon Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,70,"High School","Mathematics"
"2016-2017","OHIO",3904961,"Green Local",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,52,"High School","Mathematics"
"2016-2017","OHIO",3904962,"Minford Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,93,"High School","Mathematics"
"2016-2017","OHIO",3904963,"Northwest Local",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,121,"High School","Mathematics"
"2016-2017","OHIO",3904964,"Valley Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,79,"High School","Mathematics"
"2016-2017","OHIO",3904965,"Washington-Nile Local",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,89,"High School","Mathematics"
"2016-2017","OHIO",3904966,"Wheelersburg Local",583,"Performance on Statewide Mathematics Assessment","GE90",90,100,48,"High School","Mathematics"
"2016-2017","OHIO",3904968,"Seneca East Local",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,79,"High School","Mathematics"
"2016-2017","OHIO",3904970,"Hopewell-Loudon Local",583,"Performance on Statewide Mathematics Assessment","85-89",85,89,68,"High School","Mathematics"
"2016-2017","OHIO",3904971,"New Riegel Local",583,"Performance on Statewide Mathematics Assessment","60-79",60,79,19,"High School","Mathematics"
"2016-2017","OHIO",3904976,"Botkins Local",583,"Performance on Statewide Mathematics Assessment","GE80",80,100,21,"High School","Mathematics"
"2016-2017","OHIO",3904977,"Fairlawn Local",583,"Performance on Statewide Mathematics Assessment","50-59",50,59,45,"High School","Mathematics"
"2016-2017","OHIO",3904978,"Fort Loramie Local",583,"Performance on Statewide Mathematics Assessment","80-89",80,89,45,"High School","Mathematics"
"2016-2017","OHIO",3904979,"Hardin-Houston Local",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,71,"High School","Mathematics"
"2016-2017","OHIO",3904981,"Russia Local",583,"Performance on Statewide Mathematics Assessment","80-89",80,89,44,"High School","Mathematics"
"2016-2017","OHIO",3904983,"Canton Local",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,166,"High School","Mathematics"
