"SchoolYear","State","LEA_ID","LEA","Group","Description","Value","Value_Min","Value_Max","Denominator","Grade","Subject"
"2018-2019","OHIO",NA,NA,585,"Performance on Statewide Science Assessment","72.9",72.9,72.9,131872,"High School","Science"
"2018-2019","OHIO",3900022,"Autism Model School",583,"Performance on Statewide Mathematics Assessment","GE50",50,100,6,"High School","Mathematics"
"2018-2019","OHIO",3900031,"Cincinnati College Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,44,"High School","Mathematics"
"2018-2019","OHIO",3900040,"Horizon Science Acad Cleveland",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,64,"High School","Mathematics"
"2018-2019","OHIO",3900042,"Horizon Science Academy Columbus",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,136,"High School","Mathematics"
"2018-2019","OHIO",3900052,"Invictus High School",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,62,"High School","Mathematics"
"2018-2019","OHIO",3900053,"Towpath Trail High School",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,83,"High School","Mathematics"
"2018-2019","OHIO",3900056,"Toledo School For The Arts",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,100,"High School","Mathematics"
"2018-2019","OHIO",3900068,"Constellation Schools: Parma Community",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,105,"High School","Mathematics"
"2018-2019","OHIO",3900077,"Lighthouse Community Sch Inc",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,10,"High School","Mathematics"
"2018-2019","OHIO",3900080,"Graham School, The",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,83,"High School","Mathematics"
"2018-2019","OHIO",3900084,"River Gate High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3900086,"Life Skills Ctr Of Cincinnati",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,39,"High School","Mathematics"
"2018-2019","OHIO",3900094,"Monroe Local",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,161,"High School","Mathematics"
"2018-2019","OHIO",3900097,"Summit Academy Community School Alternative Learners -Xenia",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900100,"Cliff Park High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900101,"Marshall High School",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,43,"High School","Mathematics"
"2018-2019","OHIO",3900104,"YB Columbus Community School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,15,"High School","Mathematics"
"2018-2019","OHIO",3900106,"Dohn Community",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,195,"High School","Mathematics"
"2018-2019","OHIO",3900113,"Phoenix Community Learning Ctr",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,23,"High School","Mathematics"
"2018-2019","OHIO",3900117,"The Autism Academy Of Learning",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,2,"High School","Mathematics"
"2018-2019","OHIO",3900118,"TRECA Digital Academy",583,"Performance on Statewide Mathematics Assessment","14",14,14,307,"High School","Mathematics"
"2018-2019","OHIO",3900123,"Sciotoville",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,32,"High School","Mathematics"
"2018-2019","OHIO",3900127,"Glass City Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,22,"High School","Mathematics"
"2018-2019","OHIO",3900138,"Wildwood Environmental Academy",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,18,"High School","Mathematics"
"2018-2019","OHIO",3900145,"Tomorrow Center",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3900146,"Mahoning Unlimited Classroom",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,21,"High School","Mathematics"
"2018-2019","OHIO",3900151,"Goal Digital Academy",583,"Performance on Statewide Mathematics Assessment","6-9",6,9,128,"High School","Mathematics"
"2018-2019","OHIO",3900155,"Fairborn Digital Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,60,"High School","Mathematics"
"2018-2019","OHIO",3900175,"Stark High School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3900176,"Life Skills Center of Elyria",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900177,"Focus Learning Academy of Southwest Columbus",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900178,"Focus Learning Academy of Southeastern Columbus",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,49,"High School","Mathematics"
"2018-2019","OHIO",3900180,"Ohio Virtual Academy",583,"Performance on Statewide Mathematics Assessment","20",20,20,1738,"High School","Mathematics"
"2018-2019","OHIO",3900185,"Mound Street Academies",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900203,"Alternative Education Academy",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,197,"High School","Mathematics"
"2018-2019","OHIO",3900223,"Arts & College Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,94,"High School","Mathematics"
"2018-2019","OHIO",3900228,"Franklin Local Community School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,13,"High School","Mathematics"
"2018-2019","OHIO",3900231,"Life Skills Center Of Toledo",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900233,"Foxfire High School",583,"Performance on Statewide Mathematics Assessment","6-9",6,9,68,"High School","Mathematics"
"2018-2019","OHIO",3900237,"Buckeye United School District",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,33,"High School","Mathematics"
"2018-2019","OHIO",3900250,"Ohio Connections Academy, Inc",583,"Performance on Statewide Mathematics Assessment","26",26,26,527,"High School","Mathematics"
"2018-2019","OHIO",3900252,"Quaker Digital Academy",583,"Performance on Statewide Mathematics Assessment","10-14",10,14,97,"High School","Mathematics"
"2018-2019","OHIO",3900259,"Massillon Digital Academy, Inc",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,12,"High School","Mathematics"
"2018-2019","OHIO",3900276,"West Central Learning Academy II",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3900277,"Lake Erie International High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3900285,"Canton Harbor High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,20,"High School","Mathematics"
"2018-2019","OHIO",3900286,"Cleveland Academy for Scholarship Technology and Leadership",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,69,"High School","Mathematics"
"2018-2019","OHIO",3900306,"Columbus Arts & Technology Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3900331,"Coshocton Opportunity School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3900337,"Summit Academy Transition High School-Cincinnati",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,27,"High School","Mathematics"
"2018-2019","OHIO",3900338,"Summit Academy School - Lorain",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3900342,"Summit Academy Transition High School-Columbus",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,18,"High School","Mathematics"
"2018-2019","OHIO",3900344,"Summit Academy Alternative LearnersWarren Middle & Secondary",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,24,"High School","Mathematics"
"2018-2019","OHIO",3900348,"Summit Academy Transition High School Dayton",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,49,"High School","Mathematics"
"2018-2019","OHIO",3900361,"Summit Academy Secondary School - Middletown",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,20,"High School","Mathematics"
"2018-2019","OHIO",3900366,"Rittman Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,6,"High School","Mathematics"
"2018-2019","OHIO",3900381,"Life Skills Center of Columbus Southeast",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,30,"High School","Mathematics"
"2018-2019","OHIO",3900382,"New Day Academy Boarding & Day School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,14,"High School","Mathematics"
"2018-2019","OHIO",3900383,"Oakstone Community School",583,"Performance on Statewide Mathematics Assessment","40-59",40,59,26,"High School","Mathematics"
"2018-2019","OHIO",3900385,"Schnee Learning Center",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,18,"High School","Mathematics"
"2018-2019","OHIO",3900396,"Zenith Academy",583,"Performance on Statewide Mathematics Assessment","6-9",6,9,74,"High School","Mathematics"
"2018-2019","OHIO",3900428,"Maritime Academy of Toledo, The",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,46,"High School","Mathematics"
"2018-2019","OHIO",3900448,"Life Skills Center of Dayton",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,24,"High School","Mathematics"
"2018-2019","OHIO",3900478,"Interactive Media & Construction (IMAC)",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,9,"High School","Mathematics"
"2018-2019","OHIO",3900488,"Greater Ohio Virtual School",583,"Performance on Statewide Mathematics Assessment","10-14",10,14,135,"High School","Mathematics"
"2018-2019","OHIO",3900490,"Auglaize County Educational Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,29,"High School","Mathematics"
"2018-2019","OHIO",3900494,"Summit Academy Secondary - Akron",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,16,"High School","Mathematics"
"2018-2019","OHIO",3900495,"Summit Academy Secondary - Canton",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,31,"High School","Mathematics"
"2018-2019","OHIO",3900496,"Summit Academy - Toledo",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,15,"High School","Mathematics"
"2018-2019","OHIO",3900497,"Summit Academy Community School-Parma",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,9,"High School","Mathematics"
"2018-2019","OHIO",3900498,"Summit Academy Secondary - Youngstown",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,37,"High School","Mathematics"
"2018-2019","OHIO",3900502,"Bridges Community Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3900510,"Horizon Science Academy Toledo",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,34,"High School","Mathematics"
"2018-2019","OHIO",3900528,"Findlay Digital Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,37,"High School","Mathematics"
"2018-2019","OHIO",3900530,"Buckeye On-Line School for Success",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,105,"High School","Mathematics"
"2018-2019","OHIO",3900537,"Manchester Local",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,65,"High School","Mathematics"
"2018-2019","OHIO",3900562,"Promise Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3900568,"Lakewood City Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3900586,"Charles School at Ohio Dominican University",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,84,"High School","Mathematics"
"2018-2019","OHIO",3900593,"Life Skills Center of North Akron",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,29,"High School","Mathematics"
"2018-2019","OHIO",3900638,"Early College Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,44,"High School","Mathematics"
"2018-2019","OHIO",3900642,"Dayton Business Technology High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,27,"High School","Mathematics"
"2018-2019","OHIO",3900643,"Life Skills Center of Columbus North",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3900647,"Eagle Learning Center",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,4,"High School","Mathematics"
"2018-2019","OHIO",3901302,"Dayton Early College Academy, Inc",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,104,"High School","Mathematics"
"2018-2019","OHIO",3901314,"Zanesville Community School",583,"Performance on Statewide Mathematics Assessment","30-39",30,39,39,"High School","Mathematics"
"2018-2019","OHIO",3901329,"Mahoning County High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,20,"High School","Mathematics"
"2018-2019","OHIO",3901330,"KIPP Columbus",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,88,"High School","Mathematics"
"2018-2019","OHIO",3901350,"Ashland County Community Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,28,"High School","Mathematics"
"2018-2019","OHIO",3901362,"Achieve Career Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,34,"High School","Mathematics"
"2018-2019","OHIO",3901363,"Lakeland Academy Community School",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,5,"High School","Mathematics"
"2018-2019","OHIO",3901365,"Horizon Science Academy Lorain",583,"Performance on Statewide Mathematics Assessment","40-49",40,49,35,"High School","Mathematics"
"2018-2019","OHIO",3901366,"Horizon Science Academy Dayton High School",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,59,"High School","Mathematics"
"2018-2019","OHIO",3901374,"Dayton Regional STEM School",583,"Performance on Statewide Mathematics Assessment","65-69",65,69,90,"High School","Mathematics"
"2018-2019","OHIO",3901376,"Northeast Ohio College Preparatory School",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,40,"High School","Mathematics"
"2018-2019","OHIO",3901378,"Everest High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3901409,"Regent High School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,9,"High School","Mathematics"
"2018-2019","OHIO",3901410,"Mason Run High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3901411,"Old Brook High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,23,"High School","Mathematics"
"2018-2019","OHIO",3901412,"Road to Success Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,14,"High School","Mathematics"
"2018-2019","OHIO",3901413,"Central High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,19,"High School","Mathematics"
"2018-2019","OHIO",3901414,"George V. Voinovich High School",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,3,"High School","Mathematics"
"2018-2019","OHIO",3901415,"Frederick Douglass High School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,10,"High School","Mathematics"
"2018-2019","OHIO",3901416,"Capital High School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,12,"High School","Mathematics"
"2018-2019","OHIO",3901417,"Patriot Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","40-59",40,59,29,"High School","Mathematics"
"2018-2019","OHIO",3901420,"North Central Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,7,"High School","Mathematics"
"2018-2019","OHIO",3901429,"Hardin Community School",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,6,"High School","Mathematics"
"2018-2019","OHIO",3901433,"The Academy for Urban Scholars",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,119,"High School","Mathematics"
"2018-2019","OHIO",3901450,"Townsend North Community School",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,188,"High School","Mathematics"
"2018-2019","OHIO",3901451,"Focus North High School",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,55,"High School","Mathematics"
"2018-2019","OHIO",3901463,"Beacon Hill Academy",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,1,"High School","Mathematics"
"2018-2019","OHIO",3901472,"Academy for Urban Scholars Youngstown",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,42,"High School","Mathematics"
"2018-2019","OHIO",3901479,"Brookwood Academy",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,3,"High School","Mathematics"
"2018-2019","OHIO",3901490,"Metro Early College High School",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,103,"High School","Mathematics"
"2018-2019","OHIO",3901496,"Cleveland Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3901512,"Bio-Med Science Academy STEM School",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,83,"High School","Mathematics"
"2018-2019","OHIO",3901516,"Cincinnati Technology Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,11,"High School","Mathematics"
"2018-2019","OHIO",3901530,"Ohio Construction Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,9,"High School","Mathematics"
"2018-2019","OHIO",3901533,"Franklinton Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","11-19",11,19,39,"High School","Mathematics"
"2018-2019","OHIO",3901535,"Global Impact STEM Academy",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,161,"High School","Mathematics"
"2018-2019","OHIO",3901539,"Albert Einstein Academy for Letters, Arts and Sciences-Ohio",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,34,"High School","Mathematics"
"2018-2019","OHIO",3901551,"Liberty Preparatory School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3901565,"Valley STEM+ME2 Academy",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,116,"High School","Mathematics"
"2018-2019","OHIO",3901566,"Utica Shale Academy of Ohio",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,16,"High School","Mathematics"
"2018-2019","OHIO",3901567,"Steel Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,9,"High School","Mathematics"
"2018-2019","OHIO",3901568,"T2 Honors Academy",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,22,"High School","Mathematics"
"2018-2019","OHIO",3901574,"Flex High School",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,49,"High School","Mathematics"
"2018-2019","OHIO",3901575,"iSTEM Geauga Early College High School",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,69,"High School","Mathematics"
"2018-2019","OHIO",3901577,"Tri-State STEM+M Early College High School",583,"Performance on Statewide Mathematics Assessment","21-39",21,39,23,"High School","Mathematics"
"2018-2019","OHIO",3901582,"Bridge Gate Community School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,17,"High School","Mathematics"
"2018-2019","OHIO",3901583,"Westwood Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","20-29",20,29,33,"High School","Mathematics"
"2018-2019","OHIO",3901587,"Urban Early College Network",583,"Performance on Statewide Mathematics Assessment","LE10",0,10,35,"High School","Mathematics"
"2018-2019","OHIO",3901595,"Liberty High School",583,"Performance on Statewide Mathematics Assessment","LE20",0,20,28,"High School","Mathematics"
"2018-2019","OHIO",3901599,"Great River Connections Academy",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,103,"High School","Mathematics"
"2018-2019","OHIO",3901602,"AchievePoint Career Academy - Cincinnati",583,"Performance on Statewide Mathematics Assessment","PS",NA,NA,4,"High School","Mathematics"
"2018-2019","OHIO",3901605,"Mount Auburn Preparatory Academy",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,12,"High School","Mathematics"
"2018-2019","OHIO",3901607,"AchievePoint Career Academy - Columbus",583,"Performance on Statewide Mathematics Assessment","LT50",0,50,7,"High School","Mathematics"
"2018-2019","OHIO",3904348,"Akron City",583,"Performance on Statewide Mathematics Assessment","25",25,25,1469,"High School","Mathematics"
"2018-2019","OHIO",3904349,"Alliance City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,231,"High School","Mathematics"
"2018-2019","OHIO",3904350,"Ashland City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,246,"High School","Mathematics"
"2018-2019","OHIO",3904351,"Ashtabula Area City",583,"Performance on Statewide Mathematics Assessment","20-24",20,24,200,"High School","Mathematics"
"2018-2019","OHIO",3904352,"Athens City",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,210,"High School","Mathematics"
"2018-2019","OHIO",3904353,"Barberton City",583,"Performance on Statewide Mathematics Assessment","25-29",25,29,268,"High School","Mathematics"
"2018-2019","OHIO",3904354,"Bay Village City",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,182,"High School","Mathematics"
"2018-2019","OHIO",3904355,"Beachwood City",583,"Performance on Statewide Mathematics Assessment","70-74",70,74,117,"High School","Mathematics"
"2018-2019","OHIO",3904357,"Bellaire Local",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,85,"High School","Mathematics"
"2018-2019","OHIO",3904358,"Bellefontaine City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,174,"High School","Mathematics"
"2018-2019","OHIO",3904359,"Bellevue City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,153,"High School","Mathematics"
"2018-2019","OHIO",3904360,"Berea City",583,"Performance on Statewide Mathematics Assessment","59",59,59,447,"High School","Mathematics"
"2018-2019","OHIO",3904361,"Belpre City",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,90,"High School","Mathematics"
"2018-2019","OHIO",3904362,"Bexley City",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,203,"High School","Mathematics"
"2018-2019","OHIO",3904363,"Bowling Green City School District",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,251,"High School","Mathematics"
"2018-2019","OHIO",3904364,"Brecksville-Broadview Heights City",583,"Performance on Statewide Mathematics Assessment","86",86,86,338,"High School","Mathematics"
"2018-2019","OHIO",3904365,"Brooklyn City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,102,"High School","Mathematics"
"2018-2019","OHIO",3904366,"Brunswick City",583,"Performance on Statewide Mathematics Assessment","55",55,55,543,"High School","Mathematics"
"2018-2019","OHIO",3904367,"Bryan City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,212,"High School","Mathematics"
"2018-2019","OHIO",3904368,"Bucyrus City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,106,"High School","Mathematics"
"2018-2019","OHIO",3904369,"Cambridge City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,139,"High School","Mathematics"
"2018-2019","OHIO",3904370,"Campbell City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,70,"High School","Mathematics"
"2018-2019","OHIO",3904371,"Canton City",583,"Performance on Statewide Mathematics Assessment","13",13,13,615,"High School","Mathematics"
"2018-2019","OHIO",3904373,"Centerville City",583,"Performance on Statewide Mathematics Assessment","65",65,65,621,"High School","Mathematics"
"2018-2019","OHIO",3904374,"Chillicothe City",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,228,"High School","Mathematics"
"2018-2019","OHIO",3904375,"Cincinnati Public Schools",583,"Performance on Statewide Mathematics Assessment","29",29,29,2304,"High School","Mathematics"
"2018-2019","OHIO",3904376,"Circleville City",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,158,"High School","Mathematics"
"2018-2019","OHIO",3904377,"Claymont City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,129,"High School","Mathematics"
"2018-2019","OHIO",3904378,"Cleveland Municipal",583,"Performance on Statewide Mathematics Assessment","17",17,17,2623,"High School","Mathematics"
"2018-2019","OHIO",3904379,"Cleveland Heights-University Heights City",583,"Performance on Statewide Mathematics Assessment","28",28,28,447,"High School","Mathematics"
"2018-2019","OHIO",3904380,"Columbus City School District",583,"Performance on Statewide Mathematics Assessment","13",13,13,3260,"High School","Mathematics"
"2018-2019","OHIO",3904381,"Conneaut Area City",583,"Performance on Statewide Mathematics Assessment","30-34",30,34,131,"High School","Mathematics"
"2018-2019","OHIO",3904382,"Coshocton City",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,109,"High School","Mathematics"
"2018-2019","OHIO",3904383,"Cuyahoga Falls City",583,"Performance on Statewide Mathematics Assessment","42",42,42,318,"High School","Mathematics"
"2018-2019","OHIO",3904384,"Dayton City",583,"Performance on Statewide Mathematics Assessment","20",20,20,911,"High School","Mathematics"
"2018-2019","OHIO",3904385,"Deer Park Community City",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,95,"High School","Mathematics"
"2018-2019","OHIO",3904386,"Defiance City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,190,"High School","Mathematics"
"2018-2019","OHIO",3904387,"Delaware City",583,"Performance on Statewide Mathematics Assessment","58",58,58,359,"High School","Mathematics"
"2018-2019","OHIO",3904388,"Delphos City",583,"Performance on Statewide Mathematics Assessment","55-59",55,59,61,"High School","Mathematics"
"2018-2019","OHIO",3904389,"Dover City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,196,"High School","Mathematics"
"2018-2019","OHIO",3904390,"East Cleveland City School District",583,"Performance on Statewide Mathematics Assessment","LE5",0,5,184,"High School","Mathematics"
"2018-2019","OHIO",3904391,"East Liverpool City",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,154,"High School","Mathematics"
"2018-2019","OHIO",3904392,"East Palestine City",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,79,"High School","Mathematics"
"2018-2019","OHIO",3904393,"Eaton Community City",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,173,"High School","Mathematics"
"2018-2019","OHIO",3904394,"Elyria City Schools",583,"Performance on Statewide Mathematics Assessment","28",28,28,492,"High School","Mathematics"
"2018-2019","OHIO",3904395,"Euclid City",583,"Performance on Statewide Mathematics Assessment","18",18,18,381,"High School","Mathematics"
"2018-2019","OHIO",3904396,"Fairborn City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,275,"High School","Mathematics"
"2018-2019","OHIO",3904397,"Fairview Park City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,107,"High School","Mathematics"
"2018-2019","OHIO",3904399,"Fostoria City",583,"Performance on Statewide Mathematics Assessment","15-19",15,19,125,"High School","Mathematics"
"2018-2019","OHIO",3904400,"Franklin City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,228,"High School","Mathematics"
"2018-2019","OHIO",3904401,"Fremont City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,255,"High School","Mathematics"
"2018-2019","OHIO",3904402,"Galion City",583,"Performance on Statewide Mathematics Assessment","40-44",40,44,118,"High School","Mathematics"
"2018-2019","OHIO",3904403,"Gallipolis City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,128,"High School","Mathematics"
"2018-2019","OHIO",3904404,"Garfield Heights City Schools",583,"Performance on Statewide Mathematics Assessment","14",14,14,311,"High School","Mathematics"
"2018-2019","OHIO",3904405,"Geneva Area City",583,"Performance on Statewide Mathematics Assessment","75-79",75,79,161,"High School","Mathematics"
"2018-2019","OHIO",3904406,"Girard City School District",583,"Performance on Statewide Mathematics Assessment","60-64",60,64,75,"High School","Mathematics"
"2018-2019","OHIO",3904407,"Grandview Heights Schools",583,"Performance on Statewide Mathematics Assessment","80-84",80,84,75,"High School","Mathematics"
"2018-2019","OHIO",3904408,"Winton Woods City",583,"Performance on Statewide Mathematics Assessment","10-14",10,14,291,"High School","Mathematics"
"2018-2019","OHIO",3904409,"Greenville City",583,"Performance on Statewide Mathematics Assessment","45-49",45,49,203,"High School","Mathematics"
"2018-2019","OHIO",3904410,"Hamilton City",583,"Performance on Statewide Mathematics Assessment","54",54,54,404,"High School","Mathematics"
"2018-2019","OHIO",3904411,"Heath City",583,"Performance on Statewide Mathematics Assessment","50-54",50,54,139,"High School","Mathematics"
"2018-2019","OHIO",3904412,"Hillsboro City",583,"Performance on Statewide Mathematics Assessment","35-39",35,39,169,"High School","Mathematics"
